ingredient_id,category,subcategory,ingredient_name,bottle_size_ml,bottle_cost,cost_per_ml
86,Liqour,Vodka,Skyy Passion,1000.0,2800.0,2.8
87,Liqour,Vodka,Skyy Coconut,750.0,2400.0,3.2
88,Liqour,Vodka,Skyy Coconut,1000.0,2800.0,2.8
89,Liqour,Vodka,Skyy Blood Orange,750.0,2400.0,3.2
90,Liqour,Vodka,Skyy Blood Orange,1000.0,2800.0,2.8
91,Liqour,Vodka,Neon Pineapple,750.0,1600.0,2.133333333
92,Liqour,Vodka,Neon Lemon,750.0,1600.0,2.133333333
93,Liqour,Vodka,Neon Coffee,750.0,1600.0,2.133333333
94,Liqour,Vodka,Flirt Vodka Green Apple,750.0,1400.0,1.866666667
95,Liqour,Vodka,Flirt Vodka Green Apple,1000.0,1600.0,1.6
96,Liqour,Vodka,Flirt Vodka Green Apple,1500.0,2400.0,1.6
97,Liqour,Vodka,Flirt Vodka,750.0,1400.0,1.866666667
98,Liqour,Vodka,Flirt Vodka,1000.0,1600.0,1.6
99,Liqour,Vodka,Flirt Vodka,1500.0,2400.0,1.6
100,Liqour,Vodka,Flirt Vodka Orange,750.0,1400.0,1.866666667
101,Liqour,Vodka,Flirt Vodka Orange,1000.0,1600.0,1.6
102,Liqour,Vodka,Flirt Vodka Orange,1500.0,2400.0,1.6
103,Liqour,Vodka,Titos Handmade Vodka,750.0,4000.0,5.333333333
104,Liqour,Vodka,Titos Handmade Vodka,1000.0,5000.0,5.0
105,Liqour,Vodka,Vodka 360 Huckleberry,750.0,1700.0,2.266666667
106,Liqour,Vodka,Vodka 360 Madagascar Vanilla,750.0,1700.0,2.266666667
107,Liqour,Vodka,Chrome Vodka,750.0,700.0,0.933333333
108,Liqour,Whisky ,Cutty Sark Blended Scotch Whisky ,700.0,1800.0,2.571428571
109,Liqour,Whisky ,Cutty Sark Blended Scotch Whisky ,1000.0,2300.0,2.3
110,Liqour,Whisky ,Black and White,750.0,1500.0,2.0
111,Liqour,Whisky ,Black and White,1000.0,1850.0,1.85
112,Liqour,Whisky ,VAT 69,750.0,2300.0,3.066666667
113,Liqour,Whisky ,VAT 69,1000.0,2600.0,2.6
114,Liqour,Whisky ,Tullamore Dew,750.0,3600.0,4.8
115,Liqour,Whisky ,Tullamore Dew,1000.0,4500.0,4.5
116,Liqour,Whisky ,Jack Daniels Old No7,700.0,4500.0,6.428571429
117,Liqour,Whisky ,Jack Daniels Old No7,1000.0,5000.0,5.0
118,Liqour,Whisky ,Jim Beam Bourbon,750.0,3000.0,4.0
119,Liqour,Whisky ,Famous Grouse,750.0,2500.0,3.333333333
120,Liqour,Whisky ,Famous Grouse,1000.0,2800.0,2.8
121,Liqour,Whisky ,J&B Rare,750.0,2400.0,3.2
122,Liqour,Whisky ,J&B Rare,1000.0,2800.0,2.8
123,Liqour,Whisky ,Grants,750.0,2700.0,3.6
124,Liqour,Whisky ,Grants,1000.0,3000.0,3.0
125,Liqour,Whisky ,Best,750.0,1800.0,2.4
126,Liqour,Whisky ,William Lawsons,750.0,1800.0,2.4
127,Liqour,Whisky ,William Lawsons,1000.0,2000.0,2.0
128,Liqour,Brandy,Richot,750.0,1800.0,2.4
129,Liqour,Brandy,Viceroy,750.0,2500.0,3.333333333
130,Liqour,Brandy,St Rhys French Napoleon,750.0,3000.0,4.0
131,Liqour,Brandy,Hennessy Vs,700.0,6000.0,8.571428571
132,Liqour,Brandy,Three Barrels,1000.0,3000.0,3.0
133,Liqour,Brandy,Bardinet Vsop,750.0,2000.0,2.666666667
134,Liqour,Brandy,St Remy VSOP,700.0,2500.0,3.571428571
135,Liqour,Brandy,St Remy VSOP,1000.0,3000.0,3.0
136,Liqour,Brandy,Torres,750.0,2900.0,3.866666667
137,Liqour,Brandy,Beehive VSOP Brandy,1000.0,2500.0,2.5
138,Liqour,Brandy,Beehive Honey Brandy,1000.0,2400.0,2.4
139,Liqour,Brandy,Carlos III Brandy,1000.0,3500.0,3.5
140,liquer,Fruit ,Archers Peach,750.0,3000.0,4.0
141,liquer,Fruit ,Archers Peach,1000.0,4000.0,4.0
142,liquer,Cocktail,Zappa,750.0,2000.0,2.666666667
143,liquer,Cocktail,Zappa White,750.0,2000.0,2.666666667
145,liquer,Cocktail,Zappa Red,750.0,2000.0,2.666666667
146,liquer,Cocktail,Bardinet de Cassis,750.0,3000.0,4.0
147,liquer,Cocktail,Bardinet de Menthe,750.0,2500.0,3.333333333
148,liquer,Cocktail,Aperol,750.0,3500.0,4.666666667
149,liquer,Cocktail,Aperol,1000.0,4500.0,4.5
150,liquer,Cocktail,Butlers Expresso,750.0,2000.0,2.666666667
151,liquer,Cocktail,Butlers Ginger,750.0,2000.0,2.666666667
152,liquer,Cocktail,Butlers Peppermint,750.0,2000.0,2.666666667
153,liquer,Cocktail,Butlers Triple Sec,750.0,3000.0,4.0
154,liquer,Cocktail,Butlers Blue Curacao,750.0,3000.0,4.0
155,liquer,Cocktail,Butlers Strawberry,750.0,3000.0,4.0
156,liquer,Cocktail,Bottega Pistachio,750.0,3500.0,4.666666667
157,Bitters,Bitters,Campari ,750.0,3500.0,4.666666667
158,liquer,Cocktail,Bols Cherry Brandy,700.0,3500.0,5.0
159,liquer,Cocktail,Cinzano Vermouth Extra Dry,750.0,3000.0,4.0
160,liquer,Cocktail,Tango Sour Cherry,750.0,3000.0,4.0
161,liquer,Cocktail,Bols Crme De Menthe,750.0,3000.0,4.0
162,liquer,Cocktail,Bols Butterscotch,750.0,3000.0,4.0
163,liquer,Cocktail,Bols Cacao Brown,750.0,3000.0,4.0
164,liquer,Cocktail,Bols Coffee,750.0,3000.0,4.0
165,liquer,Cocktail,Bols Strawberry,750.0,3000.0,4.0
166,liquer,Cocktail,Bols Crme de Casis,750.0,3500.0,4.666666667
167,liquer,Cocktail,Bols Peppermint Green,750.0,3000.0,4.0
168,liquer,Cocktail,Bols Peppermint White,750.0,3000.0,4.0
169,liquer,Cocktail,Bols Banana,750.0,3000.0,4.0
170,liquer,Cocktail,Bols Vanilla,750.0,3000.0,4.0
171,liquer,Cocktail,Bottega Pomegranate,750.0,3500.0,4.666666667
172,liquer,Cocktail,Bols Elderflower,750.0,3000.0,4.0
173,liquer,Cocktail,Cuerpo Raspberry,750.0,3000.0,4.0
174,liquer,Cocktail,Bols Sour Apple,750.0,3000.0,4.0
175,liquer,Cocktail,Bols Apricot Brandy,750.0,3000.0,4.0
176,liquer,Fruit ,Cointreau,700.0,4400.0,6.285714286
177,liquer,Fruit ,Cointreau,1000.0,4800.0,4.8
178,liquer,Fruit ,Grand marnier,700.0,4800.0,6.857142857
179,liquer,Cream,Amarula ,750.0,3500.0,4.666666667
180,liquer,Cream,Amarula ,1000.0,4000.0,4.0
181,liquer,Cream,Strawberry Lips,750.0,3500.0,4.666666667
182,liquer,Cream,Baileys Irish Cream,750.0,3800.0,5.066666667
183,liquer,Cream,Baileys Irish Cream,1000.0,4500.0,4.5
184,liquer,Cream,Best Cream,750.0,1800.0,2.4
185,liquer,Cream,Zanzi cream,750.0,2000.0,2.666666667
186,liquer,herbal,Drambuie,750.0,5000.0,6.666666667
187,liquer,herbal,jagermeister,750.0,4000.0,5.333333333
188,liquer,herbal,jagermeister,1000.0,4500.0,4.5
189,liquer,coffee,kahlua,750.0,3200.0,4.266666667
190,liquer,coffee,kahlua,1000.0,3850.0,3.85
191,liquer,herbal,Galliano,700.0,6500.0,9.285714286
192,liquer,cocktail,Sourthern Comfort,1000.0,3200.0,3.2
193,liquer,herbal,Midori,1000.0,4100.0,4.1
194,liquer,coffee,Tia Maria,750.0,4000.0,5.333333333
195,liquer,coffee,Tia Maria,1000.0,5000.0,5.0
196,liquer,caramel,KGB Vodka Caramel,750.0,2000.0,2.666666667
197,liquer,Fruit ,KGB Vodka Lemon,750.0,2000.0,2.666666667
198,Vermouth,Martini ,Martini Rosso,750.0,3000.0,4.0
199,Vermouth,Martini ,Martini Bianco,750.0,3000.0,4.0
200,Vermouth,Martini ,Martini Extra Dry,750.0,3000.0,4.0
201,Vermouth,Martini ,Martini Extra Dry,1000.0,4000.0,4.0
202,Mixer,Juice,Grapefruit juice,1000.0,400.0,0.4
203,Mixer,Juice,Cranberry juice,1000.0,300.0,0.3
204,Mixer,Juice,Lime juice,1000.0,300.0,0.3
205,Mixer,Juice,Tomato juice,1000.0,300.0,0.3
206,Mixer,Juice,lemon juice,1000.0,300.0,0.3
207,Mixer,Juice,Orange juice,1000.0,330.0,0.33
208,Mixer,Juice,Pineapple juice,1000.0,300.0,0.3
209,Mixer,Juice,Passion juice,1000.0,300.0,0.3
210,Mixer,Juice,Apple juice,1000.0,300.0,0.3
211,Mixer,Juice,Mango juice,1000.0,300.0,0.3
212,Mixer,Juice,Guava juie,1000.0,300.0,0.3
213,Mixer,Juice,Litchi juice,1000.0,300.0,0.3
214,Mixer,Juice,Grape juice,1000.0,300.0,0.3
215,Mixer,Syrup,Sugar syrup,1000.0,300.0,0.3
216,Mixer,Syrup,Grenadine syrup,750.0,500.0,0.666666667
217,Mixer,Soda,Ginger beer,300.0,160.0,0.533333333
218,Mixer,Soda,Sprite,2000.0,170.0,0.085
219,Mixer,Soda,Tonic water,500.0,80.0,0.16
220,Mixer,Soda,Coke,2000.0,170.0,0.085
221,Mixer,Soda,Soda water,500.0,80.0,0.16
223,Mixer,Soda,Stoney,1250.0,150.0,0.12
224,Mixer,Soda,Schweppes Ginger Ale,330.0,145.0,0.439393939
225,Mixer,Bitters,Angostura,200.0,1800.0,9.0
226,Mixer,Bitters,Angostura,473.0,6820.0,14.41860465
227,Mixer,Bitters,Pimms,750.0,2600.0,3.466666667
228,Garnish,Fruit ,Grapefruit slice,8.0,100.0,12.5
229,Ice,Ice,Ice cubed,1000.0,50.0,0.05
230,Garnish,Fruit ,Cherry,370.0,304.0,0.821621622
231,Garnish,Fruit ,Orange zest,1.0,10.0,10.0
232,Garnish,Fruit ,Orange spiral,1.0,10.0,10.0
233,Garnish,Fruit ,Lime wedge,1.0,5.0,5.0
234,Mixer,Spices,castor sugar,500.0,140.0,0.28
235,Mixer,Sauce,Tabasco sauce,60.0,500.0,8.333333333
236,Mixer,Sauce,Worcestershire sauce,150.0,400.0,2.666666667
237,Mixer,Spices,salt,1000.0,50.0,0.05
238,Mixer,Spices,Black pepper,100.0,400.0,4.0
239,Mixer,Spices,Cinammon,100.0,200.0,2.0
240,Mixer,Spices,Nutmeg,50.0,215.0,4.3
241,Mixer,Spices,Cardamom,100.0,500.0,5.0
242,Mixer,Cream,Whipping cream,400.0,600.0,1.5
243,Mixer,Sauce,Horseradish sauce,,,
244,Garnish,Herb,Celery,500.0,200.0,0.4
245,Garnish,Fruit ,Olive,345.0,200.0,0.579710145
246,Mixer,Spices,Egg white,30.0,650.0,21.66666667
247,Garnish,Fruit ,Lemon slice,8.0,30.0,3.75
248,Garnish,Herb,Mint sprig,20.0,80.0,4.0
249,Garnish,Fruit ,orange slice,1.0,40.0,40.0
250,Garnish,Fruit ,Pineapple,1500.0,230.0,0.153333333
251,Garnish,Fruit ,Strawberries,125.0,260.0,2.08
252,Garnish,Fruit ,Cucumber slice,1.0,50.0,50.0
253,Garnish,Fruit ,Banana slice,1.0,10.0,10.0
254,Liquer,Fruit ,Bols crme de cacao,750.0,1815.0,2.42
255,liquer,Fruit ,Benedictine,1000.0,5200.0,5.2
256,liquer,Fruit ,Bols kirsch,750.0,1815.0,2.42
257,Mixer,Coffee,Espresso coffee,1000.0,500.0,0.5
258,Garnish,Fruit ,Mango,1.0,50.0,50.0
259,Garnish,Fruit ,Apples,1.0,50.0,50.0
260,Garnish,Spices,Cloves,50.0,250.0,5.0
261,Liqour,Wine,Red wine,750.0,1515.0,2.02
262,mixer,spices,Sugar,1000.0,150.0,0.15
263,liquer,Fruit ,Amaretto Galatti,1000.0,2500.0,2.5
264,cream,cream,coconut cream,200.0,240.0,1.2
265,Mixer,juice,papaya juice,1000.0,400.0,0.4
266,Liqour,Rum,Barcadi 151,750.0,1650.0,2.2
